clover, 4, 0.004
float, 4, 0.004
industry, 4, 0.004
married, 4, 0.004
scale, 4, 0.004
branch, 3, 0.003
cagey, 3, 0.003
flat, 3, 0.003
high-pitched, 3, 0.003
lock, 3, 0.003
material, 3, 0.003
obedient, 3, 0.003
peck, 3, 0.003
roll, 3, 0.003
skinny, 3, 0.003
weak, 3, 0.003
able, 2, 0.002
basin, 2, 0.002
cause, 2, 0.002
daily, 2, 0.002
early, 2, 0.002
false, 2, 0.002
gaping, 2, 0.002
hang, 2, 0.002
important, 2, 0.002
kiss, 2, 0.002
longing, 2, 0.002
madly, 2, 0.002
necessary, 2, 0.002
obtainable, 2, 0.002
pale, 2, 0.002
quicksand, 2, 0.002
receipt, 2, 0.002
scatter, 2, 0.002
tearful, 2, 0.002
upset, 2, 0.002
van, 2, 0.002
want, 2, 0.002
zip, 2, 0.002
abashed, 1, 0.001
back, 1, 0.001
cakes, 1, 0.001
dam, 1, 0.001
eager, 1, 0.001
fabulous, 1, 0.001
gate, 1, 0.001
half, 1, 0.001
icicle, 1, 0.001
jagged, 1, 0.001
kaput, 1, 0.001
labored, 1, 0.001
macho, 1, 0.001
name, 1, 0.001
oafish, 1, 0.001
pack, 1, 0.001
quarrelsome, 1, 0.001
ragged, 1, 0.001
sack, 1, 0.001
tail, 1, 0.001
ugly, 1, 0.001
valuable, 1, 0.001
wacky, 1, 0.001
x-ray, 1, 0.001
year, 1, 0.001
zany, 1, 0.001
